point_number,LP_PC1_x_coefficient,LP_x_intercept,LP_PC1_y_coefficient,LP_y_intercept,LP_FEA_x,LP_FEA_y,LP_FEA_z,LP_PC2_x_coefficient,LP_PC2_y_coefficient
1,0.464314365,-24.13572628,0.061986912,56.93807034,-6.39726877,-34.672,-17.542,-0.010790219,0.476669699
2,0.444701148,-26.56912534,0.042555414,53.22154438,-5.04027612,-33.755,-11.193,-0.025278672,0.45171526
3,0.428846658,-28.21944363,0.019745375,49.01408688,-5.68151146,-33.266,-5.494,-0.031544146,0.421872126
4,0.402796379,-27.40543601,0.025227613,41.62436931,-4.92321163,-36.345,1.028,-0.038746023,0.383843296
5,0.353926542,-24.43138476,0.014444395,34.52433833,-4.60540577,-42.385,6.881,-0.050365003,0.33303839
6,0.271651976,-18.92485002,0.017304386,26.50092422,-2.90886868,-48.409,11.603,-0.041200974,0.275999051
7,0.184925376,-12.22483036,0.007399784,19.13407024,-2.02065635,-62.995,13.243,-0.019444072,0.220167111
8,0.00E+00,0,0,0,0,-68.5,28.2,0,0
9,,,,,,,15.313,,
