Hiatus_Size,AVW_Length,Apical_Shift,CL_Strain,US_Strain,CL_Material,US_Material,Levator_Plate_PC1,Levator_Plate_PC2
47.02291051,0.7659714,-0.641818557,0.098069798,0.040947349,32.17002132,312.2365838,30.23709783,19.47840723
28.69871853,1.191678558,4.247977931,-0.039520154,-0.030733898,255.8253491,101.3083397,-2.002670918,6.517470317
39.57198145,0.896373239,-6.154139434,0.003002641,-0.002057218,257.6847294,270.3119136,1.491241274,-0.144446623
40.52537152,0.989219767,-3.073947488,0.020939232,0.015710157,167.4622186,123.1829945,14.35450902,-0.235343355
42.41725189,0.978351361,0.216790913,0.0333535,-0.019634191,200.7024209,48.90611242,23.15804845,6.910070025
45.19049263,1.118087718,-2.631895735,0.028290107,0.022606867,241.49092,249.9755502,14.92335629,9.739854956
27.25345278,1.236980971,0.588000395,0.019194305,0.018748333,138.8754856,215.044596,-8.153591758,0.038670828
36.89988622,0.836698119,1.701058151,-0.045014271,-0.023947258,356.4823213,10.09514206,5.309944133,5.795226008
47.58454952,1.334634878,-2.10826849,-0.008106434,0.002371597,131.0679457,-4.629826725,12.75298479,6.988568681
34.2258051,0.963507275,3.642557504,0.020399594,-0.005588111,138.4654286,270.7249014,6.969219428,12.45307193
42.07600531,0.83559834,0.248937386,-0.008120462,-0.018922695,140.0301421,206.0106582,-2.644076514,14.51390651
33.91853535,0.956823503,-0.784717235,-0.020348927,-0.020329015,151.5820498,246.0337252,-11.93606584,2.095670084
24.89859999,1.300477398,-0.690184476,0.052467903,0.019461219,77.40117944,157.6082168,-20.20724617,-11.74552452
25.04541591,0.970974705,3.96439803,0.032924692,0.015110692,153.7449385,344.1566055,-8.686042707,-13.5253909
28.74396821,0.72866172,-2.862632766,0.02198298,0.004411512,174.9646748,192.1615225,-9.057658054,-4.664613789
37.21405773,0.717953526,-5.689513843,-0.00304748,-0.001890522,171.2966235,148.2321106,-10.23787655,-11.46248196
36.42597862,0.91460294,0.462430476,-0.056534983,-0.026131575,166.9495124,236.1317355,-1.524560182,12.20330198
39.26273557,1.064271356,-1.847756717,-0.052290667,-0.029740839,289.3056423,226.5749804,0.161652281,7.296230551
43.82183915,0.903970061,0.435270793,0.02784982,0.016099635,127.5536661,198.3219996,21.8167992,15.40497158
42.00790073,0.841449155,-4.611717997,-0.006054022,0.009068889,351.0779487,283.7245538,-5.603515387,5.161374696
29.19799287,0.876142889,1.748479868,-0.061737843,-0.025864935,247.5755812,127.1845787,-19.16707712,-8.959728216
40.05888398,1.085172455,-6.455697316,0.029939739,0.020268167,199.8163863,227.2865547,-3.758534493,-13.81997872
38.2807149,0.928296638,2.230966229,0.017938872,-0.000200849,268.6129706,275.1976306,22.55814068,-0.644427023
32.90188923,0.976346177,1.619090069,0.062549375,0.032284991,111.3541388,113.7326475,-1.735458499,8.681488998
37.04643509,1.099214765,-2.118084431,0.082040912,0.041875318,277.1232,294.2716257,0.474067445,-8.664610588
28.67967762,0.934295035,2.308536198,-0.065364816,-0.014423816,34.10487071,210.986015,-6.8942471,-8.529887879
31.39251641,1.08349899,-0.899459718,-0.03119102,-0.030583378,39.77927556,175.3147571,0.719587707,0.618999542
35.27525274,1.155781926,-1.92952179,-0.017412668,-0.009328672,141.9180937,139.2387923,-7.93600591,-12.40512078
48.75833796,0.466571271,-3.93110079,0.019113308,0.00039376,124.2408106,239.1824121,11.00810758,15.22122562
42.99789321,0.856163923,3.983327122,-0.008749579,-0.005127344,201.4955571,231.8999089,18.22342507,24.61518369
42.72131927,1.297756258,0.711413827,-0.056330443,-0.011818843,345.0274791,372.1563747,10.37162934,12.40129698
26.93532195,0.848986196,-0.779262781,0.024333278,0.002260625,175.3552991,305.6281263,-24.21858843,-15.39535642
27.11656808,0.951287929,-0.034475637,0.03072349,0.018500227,146.1141377,254.2322107,-8.839076472,-6.744576788
32.60926634,1.217862781,1.925576413,0.00370644,0.01558819,82.0913031,268.3692189,-2.589557983,3.990979345
53.22838626,0.873859637,-2.367204506,-0.006875846,-0.005816804,154.1798996,20.01056683,30.75522173,22.04662335
37.96746033,0.961641762,-3.896060206,-0.064272467,-0.049457943,146.172067,180.8661038,-9.85123742,-9.141181558
38.21782296,1.09776008,1.177424046,-0.024030757,0.002387974,147.0799738,220.8762012,0.215215505,5.628098774
41.12361673,1.002007041,-3.690779627,0.029510836,0.011682802,230.8583287,156.380209,8.125850365,16.41990392
33.60620959,1.183448343,-1.137033679,-0.014644571,-0.010875984,-59.52032376,246.8163616,1.678410912,0.303530832
25.65225266,0.879819026,2.748344431,-0.001192203,0.000300727,155.761336,335.7888247,-9.835866067,-4.229332615
37.40375118,0.998799803,-3.088770963,0.038352163,0.013488665,150.4282106,210.3827046,11.24833866,-1.472019967
37.27729094,1.019204215,0.552467318,-0.094724473,-0.039445193,138.3066853,360.0187041,3.844294726,4.553676227
31.23876387,1.106718244,-0.368961296,-0.010430467,-0.002192929,85.59839462,329.5096747,-12.08203422,-7.172240288
33.29113468,1.202610608,-3.638270801,-0.075841103,-0.029031265,71.62730844,201.0763668,-5.65022779,3.330103955
