File Name,Part3_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,outer_y1,outer_y2
Part1_E(1.56)Part3_E(1.33)Part7_E(2.27)Part10_E(1.83)Part11_E(1.06)Pressure(0.015),1.33,0.015,1.25,1.75,1.3563558660760608,1.3623301375233612,-2.3427867789572447,-2.351597944304173
Part1_E(1.19)Part3_E(2.11)Part7_E(1.52)Part10_E(1.89)Part11_E(2.32)Pressure(0.015),2.11,0.015,1.25,1.75,1.291192999024387,1.2944402676986602,-2.2872407415256704,-2.2919157973526567
Part1_E(1.31)Part3_E(1.32)Part7_E(1.95)Part10_E(2.12)Part11_E(2.22)Pressure(0.015),1.32,0.015,1.25,1.75,1.275039704213509,1.2804197628259806,-2.2604404462481384,-2.2698677368920586
Part1_E(2.13)Part3_E(1.64)Part7_E(1.88)Part10_E(2.02)Part11_E(2.24)Pressure(0.015),1.64,0.015,1.25,1.75,1.2904057945094372,1.2948402618466468,-2.281375638742493,-2.2884857696172376
Part1_E(2.12)Part3_E(1.61)Part7_E(2.13)Part10_E(1.1)Part11_E(1.75)Pressure(0.015),1.61,0.015,1.25,1.75,1.3583652792304983,1.3630700491122545,-2.349675284024171,-2.356212519039769
Part1_E(1.94)Part3_E(1.95)Part7_E(1.75)Part10_E(1.23)Part11_E(2.31)Pressure(0.015),1.95,0.015,1.25,1.75,1.326476707039866,1.3301723648778787,-2.32153595872602,-2.3266589379118945
Part1_E(1.89)Part3_E(2.04)Part7_E(2.44)Part11_E(1.84)Pressure(0.015),2.04,0.015,1.25,1.75,1.331777145914668,1.3352452205103746,-2.3277503453779915,-2.3324286326921446
Part1_E(1.9)Part3_E(2.36)Part7_E(2.07)Part10_E(1.3)Part11_E(1.53)Pressure(0.015),2.36,0.015,1.25,1.75,1.3291558045968976,1.332030119337251,-2.3276549560850848,-2.3313507010747307
Part1_E(1.82)Part3_E(2.27)Part7_E(2.39)Part10_E(1.97)Part11_E(2.1)Pressure(0.015),2.27,0.015,1.25,1.75,1.273498780718024,1.276509883906394,-2.270344848004173,-2.2749985206032712
Part1_E(2.26)Part3_E(2.45)Part7_E(1.22)Part10_E(1.97)Part11_E(2.05)Pressure(0.015),2.45,0.015,1.25,1.75,1.317769486254955,1.3205642314655957,-2.316667734011488,-2.3203806171012373
Part1_E(1.99)Part3_E(2.28)Part7_E(1.74)Part10_E(1.32)Part11_E(1.96)Pressure(0.015),2.28,0.015,1.25,1.75,1.3258190825983138,1.3288450935266254,-2.323685805833232,-2.327678575509118
Part1_E(2.5)Part3_E(1.45)Part7_E(2.21)Part10_E(2.47)Part11_E(1.24)Pressure(0.015),1.45,0.015,1.25,1.75,1.3153379252786963,1.3206602820940023,-2.303766867235547,-2.3120523350753004
Part1_E(2.14)Part3_E(2.18)Part7_E(1.53)Part10_E(1.56)Part11_E(1.76)Pressure(0.015),2.18,0.015,1.25,1.75,1.3350865229230575,1.3382843852181254,-2.3322981500129663,-2.3364935146628336
Part1_E(1.85)Part3_E(2.42)Part7_E(1.01)Part10_E(1.95)Part11_E(1.66)Pressure(0.015),2.42,0.015,1.25,1.75,1.3429218184869802,1.3456476356897704,-2.342030524626154,-2.3453398704359847
Part1_E(1.35)Part3_E(1.37)Part7_E(2.33)Part10_E(1.44)Part11_E(1.49)Pressure(0.015),1.37,0.015,1.25,1.75,1.335886349860523,1.341528746993006,-2.322965311953431,-2.331476958702995
Part1_E(1.58)Part3_E(2.14)Part7_E(1.06)Part10_E(1.9)Part11_E(1.11)Pressure(0.015),2.14,0.015,1.25,1.75,1.3803571587680032,1.3834093645332488,-2.37773088403401,-2.38120862841706
Part1_E(1.26)Part3_E(1.32)Part7_E(1.91)Part10_E(1.73)Part11_E(1.68)Pressure(0.015),1.32,0.015,1.25,1.75,1.3237068401128955,1.3295453764526082,-2.309668596397956,-2.318760466907006
Part1_E(1.66)Part3_E(2.49)Part7_E(1.18)Part10_E(2.26)Part11_E(1.81)Pressure(0.015),2.49,0.015,1.25,1.75,1.3128029749375076,1.3155026148579405,-2.31192652430494,-2.315473448586838
Part1_E(1.47)Part3_E(1.32)Part7_E(1.84)Part10_E(2.09)Part11_E(2.2)Pressure(0.015),1.32,0.015,1.25,1.75,1.2846458741236702,1.2901613724425325,-2.2701836002571736,-2.279638031535368
Part1_E(1.09)Part3_E(1.58)Part7_E(1.95)Part10_E(1.42)Part11_E(1.13)Pressure(0.015),1.58,0.015,1.25,1.75,1.3732194205960315,1.3778665518623128,-2.3641490650591863,-2.370301974045167
Part1_E(1.14)Part3_E(1.84)Part7_E(1.55)Part10_E(2.03)Part11_E(2.15)Pressure(0.015),1.84,0.015,1.25,1.75,1.2928444283842389,1.296645284469866,-2.2863389884911944,-2.291995685591744
Part1_E(1.45)Part3_E(1.97)Part7_E(1.68)Part10_E(1.06)Part11_E(1.38)Pressure(0.015),1.97,0.015,1.25,1.75,1.3805474768542894,1.3839779207735146,-2.3763427215404453,-2.3804296874479154
