File Name,Part1_E,Part3_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3,innerShape_x1,innerShape_x2,innerShape_x3
Part1_E(1.46)Part3_E(1.52)Part11_E(2.08),1.46,1.52,2.08,0.015,1.25,1.75,1.2560226109800936,1.2566121347928885,1.2572614872996175,-2.2638584803034933,-2.26452682926359,-2.264985280610933,-0.1770389191277082,0.7265790599492634,1.2662702411502682
Part1_E(1.69)Part3_E(2.42)Part11_E(2.08),1.69,2.42,2.08,0.015,1.25,1.75,1.2516808762172005,1.2520353617196889,1.252449771210466,-2.2618648512271498,-2.2621998313525795,-2.262548776548853,-0.176682945997215,0.7215987439753235,1.256896126515605
Part1_E(1.97)Part3_E(1.36)Part11_E(2.21),1.97,1.36,2.21,0.015,1.25,1.75,1.2555469780692532,1.256110119173123,1.2568635303755264,-2.2625937997985925,-2.2631422317075094,-2.2638657437177017,0.1786715316153928,-0.7236898849978162,-1.2609467981281912
Part1_E(1.75)Part3_E(1.18)Part11_E(2.18),1.75,1.18,2.18,0.015,1.25,1.75,1.2569990871575163,1.2576714938618612,1.2585035636860409,-2.26308637564204,-2.263816649192793,-2.2645321374147005,0.1790168454566913,-0.7254517690083225,-1.2641433540673974
Part1_E(1.5)Part3_E(2.48)Part11_E(2.34),1.5,2.48,2.34,0.015,1.25,1.75,1.2507360243338308,1.251107973173236,1.251491355639056,-2.260901539889777,-2.261330058494481,-2.261537236249921,-0.1766980686746058,0.7217758630693765,1.2572224349128356
Part1_E(1.34)Part3_E(2.26)Part11_E(2.42),1.34,2.26,2.42,0.015,1.25,1.75,1.2513437839302282,1.2517724912258743,1.2521813515623204,-2.261073750322552,-2.261617010349085,-2.2617640525542835,-0.1767911643268047,0.7229605664894619,1.2594066388089589
Part1_E(1.22)Part3_E(2.15)Part11_E(1.31),1.22,2.15,1.31,0.015,1.25,1.75,1.257581236296385,1.2579703522697336,1.2584278044681831,-2.26774011205893,-2.2680652053878974,-2.268511968191178,-0.1768022865404828,0.7235093181228252,1.2600199539657682
Part1_E(1.5)Part3_E(1.38)Part11_E(2.06),1.5,1.38,2.06,0.015,1.25,1.75,1.2569134760305225,1.2575454338219778,1.2582619447675956,-2.2641572486668693,-2.264866346761297,-2.2654062240437933,0.1790254300581593,-0.7246372541348141,-1.2626459092733011
Part1_E(1.07)Part3_E(1.05)Part11_E(1.49),1.07,1.05,1.49,0.015,1.25,1.75,1.2657560397776195,1.2666120009538258,1.267566809607881,-2.2714574999976938,-2.272430630490056,-2.2731838988705246,0.1799772904979206,-0.7292658309860532,-1.2707614287583158
Part1_E(1.19)Part3_E(1.98)Part11_E(1.37),1.19,1.98,1.37,0.015,1.25,1.75,1.2583027266875877,1.2587377082376694,1.2592411797118686,-2.268036269109841,-2.2684317279967816,-2.268890326304498,-0.1768721333523815,0.7244566931563361,1.261785974680388
Part1_E(1.42)Part3_E(1.7)Part11_E(2.18),1.42,1.7,2.18,0.015,1.25,1.75,1.2545750698267404,1.255120191746674,1.2556913979123472,-2.2630022258350784,-2.263642003340652,-2.263989469472074,-0.1769706927582474,0.7255371503645676,1.2642812110050514
Part1_E(2.02)Part3_E(1.31)Part11_E(1.46),2.02,1.31,1.46,0.015,1.25,1.75,1.2615751877441057,1.2620542652930555,1.2629095042770504,-2.268824488814792,-2.26927969222526,-2.269992903740692,0.1785799610348751,-0.7238817304442695,-1.2610394232144304
Part1_E(2.18)Part3_E(2.11)Part11_E(2.47),2.18,2.11,2.47,0.015,1.25,1.75,1.2509865522374752,1.2513696743535234,1.2518629378545671,-2.260370759305767,-2.26070934602324,-2.261176324916173,-0.1767341702355522,0.7219609754441734,1.2578366111161767
Part1_E(1.97)Part3_E(1.08)Part11_E(1.55),1.97,1.08,1.55,0.015,1.25,1.75,1.262935247357268,1.2635300955680724,1.2645021195190227,-2.268750134262085,-2.2691507332056435,-2.2703090337260545,0.1788607544013192,-0.725687285835075,-1.2643238222183986
Part1_E(1.9)Part3_E(1.29)Part11_E(1.19),1.9,1.29,1.19,0.015,1.25,1.75,1.265070818779598,1.2654918154792805,1.2664004975818897,-2.27242830084064,-2.27288983757752,-2.273399644283396,0.1786249963242464,-0.7242555593220039,-1.2615881945343244
Part1_E(1.65)Part3_E(1.11)Part11_E(2.02),1.65,1.11,2.02,0.015,1.25,1.75,1.2587387077476715,1.2594496385586502,1.2603405792309992,-2.2644629968389425,-2.2652310305908747,-2.26601851789589,0.1791707523358887,-0.7263220450441816,-1.2656675541894993
Part1_E(1.1)Part3_E(1.31)Part11_E(1.63),1.1,1.31,1.63,0.015,1.25,1.75,1.261473936743042,1.2621874395073682,1.2629468792253538,-2.268674704311151,-2.2694967632956184,-2.2700311621472604,0.1795610449384427,-0.7264641438927565,-1.2658385761698023
