File Name,Part1_E,Part3_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,outer_y1,outer_y2,innerShape_x1,innerShape_x2
Part1_E(1.06)Part3_E(2.08)Part11_E(1.16),1.06,2.08,1.16,0.015,1.25,1.75,1.2595237745707126,1.2599306052892183,-2.269660999476983,-2.2700254705281084,-0.1768558570403946,0.7242734668632163
Part1_E(1.55)Part3_E(1.08)Part11_E(2.13),1.55,1.08,2.13,0.015,1.25,1.75,1.2582215704711548,1.2589904060888235,-2.263680184988345,-2.2645747847571243,0.1793304472253417,-0.7269209842494204
Part1_E(1.47)Part3_E(2)Part11_E(1.16),1.47,2.0,1.16,0.015,1.25,1.75,1.259393632244016,1.2597745903790316,-2.269353294267273,-2.269565202357471,-0.1767985563423559,0.7235218230195638
Part1_E(1.07)Part3_E(2.1)Part11_E(1.64),1.07,2.1,1.64,0.015,1.25,1.75,1.2559136821813175,1.2563627439562746,-2.265730501361144,-2.266235281761864,-0.1768753845942049,0.7242827577239069
Part1_E(1.97)Part3_E(1.42)Part11_E(1.76),1.97,1.42,1.76,0.015,1.25,1.75,1.2581411105812383,1.2586363464106758,-2.265729304216634,-2.2661309947051564,0.1785623685693481,-0.7233186994004739
Part1_E(2.45)Part3_E(1.11)Part11_E(1.74),2.45,1.11,1.74,0.015,1.25,1.75,1.2601321942085209,1.2606355391403103,-2.2659505279334407,-2.2664600758524327,0.1785708275220929,-0.724429315246842
Part1_E(2.49)Part3_E(1.87)Part11_E(2.1),2.49,1.87,2.1,0.015,1.25,1.75,1.2531262209026086,1.2534994891299966,-2.262080345377348,-2.262348307674564,-0.1767783281739363,0.7223703167492633
Part1_E(2.18)Part3_E(1.15)Part11_E(1.61),2.18,1.15,1.61,0.015,1.25,1.75,1.261342976661667,1.2618619946230805,-2.267539227808688,-2.2680559365629835,0.1786585673152511,-0.724658150427213
Part1_E(2.31)Part3_E(1.73)Part11_E(1.78),2.31,1.73,1.78,0.015,1.25,1.75,1.2556537589173171,1.2560606325645831,-2.264396644932685,-2.2646091436514424,0.178156364944145,-0.721285478094061
Part1_E(1.04)Part3_E(2.05)Part11_E(1.16),1.04,2.05,1.16,0.015,1.25,1.75,1.2597853854321133,1.260201514826597,-2.269859061943852,-2.2702218376060515,-0.1768725230237826,0.7244957344806578
Part1_E(1.59)Part3_E(1.7),1.59,1.7,1.0,0.015,1.25,1.75,1.2634255676117228,1.2637904287631705,-2.272675683545455,-2.2730339367203496,0.1784567575314856,-0.7225138521435964
Part1_E(2.4)Part3_E(2.03)Part11_E(1.19),2.4,2.03,1.19,0.015,1.25,1.75,1.2577057965461378,1.2579629633299705,-2.2676363173841843,-2.2678846778271,-0.1767100565514247,0.7216887287344471
Part1_E(1.16)Part3_E(1.95)Part11_E(2.14),1.16,1.95,2.14,0.015,1.25,1.75,1.253886885012064,1.2543957000864825,-2.2630581296165584,-2.2637059985589394,-0.1769320026564844,0.7249020435056549
Part1_E(1.18)Part3_E(2.28)Part11_E(2.35),1.18,2.28,2.35,0.015,1.25,1.75,1.251666181464716,1.252103675873762,-2.2614679839094,-2.262047417264285,-0.1768162404460968,0.7232646075763953
Part1_E(1.44)Part3_E(1.47)Part11_E(2.34),1.44,1.47,2.34,0.015,1.25,1.75,1.2548620341444696,1.255494048855501,-2.262359904606687,-2.2631380203029647,0.1790329771941641,-0.7242022194922977
Part1_E(2.17)Part3_E(1.55)Part11_E(1.9),2.17,1.55,1.9,0.015,1.25,1.75,1.2561195888940289,1.256569785693412,-2.2641507490403625,-2.264503335134384,0.1783618196430443,-0.7222894063541347
Part1_E(2.03)Part3_E(1.28)Part11_E(2.01),2.03,1.28,2.01,0.015,1.25,1.75,1.257213127869245,1.2577699795579134,-2.26395252690172,-2.26448558709916,0.1786811777346654,-0.7240732868397791
Part1_E(1.31)Part3_E(2.03)Part11_E(1.43),1.31,2.03,1.43,0.015,1.25,1.75,1.2573459416468,1.2577600783866705,-2.267149103921325,-2.267505455346189,-0.1768311303930503,0.7238711999740854
Part1_E(1.04)Part3_E(2.39)Part11_E(1.15),1.04,2.39,1.15,0.015,1.25,1.75,1.2575417509691968,1.2578915499166767,-2.268277518989322,-2.268587364512002,-0.176756803144792,0.7228909669763964
Part1_E(2.46)Part3_E(2.08)Part11_E(2.27),2.46,2.08,2.27,0.015,1.25,1.75,1.2515952891413082,1.2519504896628113,-2.2609977296087265,-2.2612610038878445,-0.1767199230841372,0.7216398730098621
Part1_E(1.3)Part3_E(1.07)Part11_E(2.1),1.3,1.07,2.1,0.015,1.25,1.75,1.2588941875715656,1.2597438935163294,-2.2643175225827297,-2.265379144198017,0.1796666683730576,-0.7279600514878541
Part1_E(1.44)Part3_E(1.04)Part11_E(2.44),1.44,1.04,2.44,0.015,1.25,1.75,1.256418298043567,1.2572778990044808,-2.2614321242709625,-2.262543810355941,0.1795608037490668,-0.7277188944756029
Part1_E(1.92)Part3_E(1.83)Part11_E(1.56),1.92,1.83,1.56,0.015,1.25,1.75,1.256886033890081,1.257275724936986,-2.26606781502874,-2.266343931491615,-0.1768193368211741,0.7234302099346109
Part1_E(1.88)Part3_E(2.04)Part11_E(1.98),1.88,2.04,1.98,0.015,1.25,1.75,1.2534537090731157,1.2538474573544265,-2.2629164280079666,-2.263261814079357,-0.1767688211027005,0.7226647071691477
Part1_E(1.09)Part11_E(1.47),1.09,1.0,1.47,0.015,1.25,1.75,1.2665761578640218,1.267455416011014,-2.2718961833662124,-2.272885818289993,0.1800185889580376,-0.7297836697117143
Part1_E(1.7)Part3_E(1.38)Part11_E(1.6),1.7,1.38,1.6,0.015,1.25,1.75,1.2601136966500786,1.2606479075899608,-2.2676433621516696,-2.268089411424191,0.1787690941546575,-0.7241259984357804
Part1_E(2.45)Part3_E(2.25)Part11_E(1.87),2.45,2.25,1.87,0.015,1.25,1.75,1.25253472758908,1.252858428856073,-2.262511199697686,-2.262700996723624,-0.1766653627988714,0.7210181059465592
Part1_E(1.02)Part3_E(2.22)Part11_E(2.12),1.02,2.22,2.12,0.015,1.25,1.75,1.252955713180305,1.25341298768621,-2.262749976857594,-2.26335977554314,-0.1768704644284192,0.7239551974190265
Part1_E(2.3)Part3_E(1.17)Part11_E(1.46),2.3,1.17,1.46,0.015,1.25,1.75,1.2625817544381783,1.2630087680618691,-2.268980933194981,-2.269475503201419,0.1785485529011653,-0.7242716356482312
Part1_E(2.28)Part3_E(1.87)Part11_E(1.17),2.28,1.87,1.17,0.015,1.25,1.75,1.2591665922958537,1.2594468966744616,-2.268716623170806,-2.2689948378310087,0.1779957423665084,-0.720751772836573
Part1_E(1.33)Part3_E(1.47)Part11_E(1.62),1.33,1.47,1.62,0.015,1.25,1.75,1.2598109886982458,1.2603963991707174,-2.267740127287851,-2.268331374581733,0.1790453298328566,-0.724479796787196
Part1_E(1.78)Part3_E(1.18)Part11_E(2.07),1.78,1.18,2.07,0.015,1.25,1.75,1.257727472322119,1.2583804752811598,-2.263873290558181,-2.264546883694769,0.1789767750339642,-0.7253706321423413
Part1_E(1.1)Part3_E(2)Part11_E(1.11),1.1,2.0,1.11,0.015,1.25,1.75,1.2605116980575677,1.260923243492231,-2.270517934210387,-2.2708444270453705,-0.1768707518097299,0.7245485612959869
Part1_E(1.4)Part3_E(1.92)Part11_E(2.23),1.4,1.92,2.23,0.015,1.25,1.75,1.2533444665755398,1.2538343104956409,-2.2623879514419016,-2.26296973517106,-0.1768891583380152,0.7243586565515594
Part1_E(2.44)Part3_E(2.45)Part11_E(2.09),2.44,2.45,2.09,0.015,1.25,1.75,1.2509354322047064,1.2512350302715023,-2.261160659616161,-2.26136006072229,-0.1766211824752906,0.7204654375762605
Part1_E(2.23)Part3_E(1.5)Part11_E(2.22),2.23,1.5,2.22,0.015,1.25,1.75,1.2545118098862074,1.2549965030131698,-2.2621613806532923,-2.2626121225870066,0.1784033423284922,-0.722456176946814
Part1_E(1.57)Part3_E(1.39)Part11_E(1.21),1.57,1.39,1.21,0.015,1.25,1.75,1.2642568251115625,1.2647719669348014,-2.272148198699062,-2.272613480265968,0.1787931033321625,-0.724361750935138
Part1_E(2.11)Part3_E(2.24)Part11_E(1.7),2.11,2.24,1.7,0.015,1.25,1.75,1.2536643226556805,1.253986391631307,-2.2637188005354467,-2.2639307621626656,-0.1766830607830899,0.7214771083581061
Part1_E(1.24)Part3_E(1.03)Part11_E(1.48),1.24,1.03,1.48,0.015,1.25,1.75,1.2657144897728314,1.2665116956702327,-2.2712502415951943,-2.272088036047925,0.179700134093935,-0.7286626703321126
Part1_E(1.46)Part3_E(2.2)Part11_E(1.96),1.46,2.2,1.96,0.015,1.25,1.75,1.253274823942947,1.253680288639989,-2.263107042506602,-2.263526943969385,-0.1767724903914739,0.7228549542995886
