File Name,Part3_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3,inner_radius_x1,inner_radius_x2,inner_radius_x3
Part1_E(1.51)Part3_E(1.21)Part7_E(2.18)Part10_E(1.02)Part11_E(1.48)Pressure(0.015),1.21,0.015,1.25,1.75,1.403368062026321,1.4102166243217784,1.4180287450450126,-2.387178153303188,-2.396938515580989,-2.4024314799478343,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.78)Part3_E(1.8)Part7_E(1.25)Part10_E(2.01)Part11_E(1.17)Pressure(0.015),1.8,0.015,1.25,1.75,1.3786747120583722,1.382624334990484,1.3864217048534464,-2.372591296997517,-2.37761308463206,-2.380383395057165,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.85)Part3_E(1.78)Part7_E(1.3)Part10_E(1.06)Part11_E(1.8)Pressure(0.015),1.78,0.015,1.25,1.75,1.397475892204599,1.4014257895526805,1.4052355712014772,-2.391266591269703,-2.3961118915148,-2.39907553553468,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(2.26)Part3_E(1.95)Part7_E(2.45)Part10_E(2.16)Part11_E(1.37)Pressure(0.015),1.95,0.015,1.25,1.75,1.299870996987435,1.3035776067611804,1.3066651380447358,-2.29453419666549,-2.3000664151954267,-2.3008486756056024,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.04)Part3_E(1.08)Part7_E(1.98)Part10_E(2.25)Part11_E(1.36)Pressure(0.015),1.08,0.015,1.25,1.75,1.3124046542612129,1.3197818510870218,1.3279758498366598,-2.2920318726117,-2.304502972640412,-2.3065184357357924,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.95)Part3_E(2.15)Part7_E(1.75)Part10_E(1.55)Part11_E(1.39)Pressure(0.015),2.15,0.015,1.25,1.75,1.342689981914137,1.3459098747584448,1.3487582870835315,-2.3397612768227827,-2.343899202745394,-2.3456936283135708,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.06)Part3_E(1.26)Part7_E(2.05)Part10_E(1.42)Part11_E(1.94)Pressure(0.015),1.26,0.015,1.25,1.75,1.3185677987309543,1.3246732275281314,1.3310017967900267,-2.3031325285840234,-2.312827446160329,-2.3149390139661588,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.86)Part3_E(1.03)Part7_E(2.07)Part10_E(1.9)Part11_E(2.28)Pressure(0.015),1.03,0.015,1.25,1.75,1.2807597531876709,1.2882085225861737,1.2957993590136572,-2.258566579466076,-2.2723089510237067,-2.27122427118286,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.26)Part3_E(2.42)Part7_E(2.12)Part10_E(1.66)Part11_E(1.04)Pressure(0.015),2.42,0.015,1.25,1.75,1.327433717728035,1.3301497918228886,1.3323098744114,-2.326386115186528,-2.329743941505088,-2.33099406782238,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.46)Part3_E(1.82)Part7_E(1.13)Part10_E(2.42)Part11_E(1.99)Pressure(0.015),1.82,0.015,1.25,1.75,1.3162619658221275,1.3202250080959497,1.323732029571416,-2.309844421213109,-2.3155115132238584,-2.316988007268688,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.22)Part3_E(2.12)Part7_E(2.22)Part10_E(1.43)Part11_E(1.02)Pressure(0.015),2.12,0.015,1.25,1.75,1.3458351835154905,1.34902233874962,1.3517308716517349,-2.3427385624333903,-2.3466838302700883,-2.348432773158204,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.4)Part3_E(1.38)Part7_E(1.45)Part10_E(1.61)Part11_E(1.97)Pressure(0.015),1.38,0.015,1.25,1.75,1.346106228197079,1.3517472141971842,1.3575944038486818,-2.3334653975602024,-2.3418015692308014,-2.344855684924589,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(2.27)Part3_E(1.9)Part7_E(1.73)Part10_E(2.12)Part11_E(1.58)Pressure(0.015),1.9,0.015,1.25,1.75,1.3181164211941083,1.3219668913376117,1.3253936130894293,-2.3125527365453005,-2.3180754982408707,-2.31955302876894,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(2.35)Part3_E(1.58)Part7_E(1.82)Part10_E(1.02)Part11_E(2.44)Pressure(0.015),1.58,0.015,1.25,1.75,1.3512167221583296,1.3560667007256813,1.3609106920969156,-2.342040497086328,-2.3489186379936604,-2.351747470820284,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(2.47)Part3_E(1.89)Part7_E(1.64)Part10_E(1.03)Part11_E(1.35)Pressure(0.015),1.89,0.015,1.25,1.75,1.4026509433285803,1.4062711777389567,1.4096945115487638,-2.397722819702244,-2.401993924179378,-2.404735997823765,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(2.13)Part3_E(2.4)Part7_E(2.43)Part10_E(1.84)Part11_E(1.44)Pressure(0.015),2.4,0.015,1.25,1.75,1.30037309847289,1.303260048796959,1.3055413355721,-2.2986420004982344,-2.3027060584137904,-2.3034674388688097,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.53)Part3_E(1.69)Part7_E(1.59)Part10_E(1.87)Part11_E(2.4)Pressure(0.015),1.69,0.015,1.25,1.75,1.297177482303052,1.3014520039306552,1.3051405822722029,-2.288936943937241,-2.295508291212318,-2.296253279695825,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(2.28)Part3_E(1.91)Part7_E(1.94)Part10_E(1.91)Part11_E(2.32)Pressure(0.015),1.91,0.015,1.25,1.75,1.2884530593726091,1.292207461438188,1.2951880496369,-2.282522264467211,-2.288346182858503,-2.2885791989833515,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.73)Part3_E(1.8)Part7_E(1.97)Part10_E(2.42)Part11_E(1.46)Pressure(0.015),1.8,0.015,1.25,1.75,1.3001154577477572,1.3041276541453428,1.307550136963831,-2.293235953441923,-2.299282169750404,-2.300132003328204,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(2.04)Part3_E(1.14)Part7_E(2.28)Part10_E(2.1)Part11_E(2.32)Pressure(0.015),1.14,0.015,1.25,1.75,1.2657702522613226,1.272041358514281,1.2776792906610657,-2.246718373722914,-2.258603486345703,-2.256107932546197,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
Part1_E(1.94)Part3_E(2.27)Part7_E(1.41)Part10_E(1.8)Part11_E(1.49)Pressure(0.015),2.27,0.015,1.25,1.75,1.3383394525608878,1.3413423414638,1.3439356861295415,-2.3363092422092,-2.3401292215755927,-2.3417385365997543,0.1754530301220329,-0.7102867074044281,-1.2365097488523484
