File Name,E1,E2,E3,Apex,principal component 1 AVW,principal component 2 AVW,principal component 1 Bottom Tissue,principal component 2 Bottom Tissue
_Part2_E(1)_Part8_E(1.6621)_Part9_E(1)_Part12_E(1.7809)_Part27_E(2.5732),1.6621,1.7809,2.5732,-5.79014137649,0.08804361502914775,0.02325650775352479,-5.175476445432208,-0.0005528673441392624
_Part2_E(1)_Part8_E(1.4020)_Part9_E(1)_Part12_E(2.7234)_Part27_E(1.0280),1.402,2.7234,1.028,-5.87633153884,-0.1040001300049733,0.11743429241589055,-5.175421847660326,0.0016403354711360793
_Part2_E(1)_Part8_E(2.8689)_Part9_E(1)_Part12_E(1.0830)_Part27_E(2.3603),2.8689,1.083,2.3603,-5.63325854366,0.3098491312329882,-0.14778988877749566,9.962682197826666,-0.0004716214780811958
_Part2_E(1)_Part8_E(2.0866)_Part9_E(1)_Part12_E(1.6611)_Part27_E(2.5443),2.0866,1.6611,2.5443,-5.76577173372,0.037761039662753765,-0.0350631297703595,-5.175462325774806,-0.000550514329036362
_Part2_E(1)_Part8_E(1.3488)_Part9_E(1)_Part12_E(1.5728)_Part27_E(2.8710),1.3488,1.5728,2.871,-5.76877597712,0.3010113300549965,0.05655376728383161,9.96272516553257,-0.0007729020258569497
_Part2_E(1)_Part8_E(1.2323)_Part9_E(1)_Part12_E(2.7937)_Part27_E(1.1329),1.2323,2.7937,1.1329,-5.88399249686,-0.03921956678117842,0.15908956041713887,-5.1754542850706695,0.0013374367603709502
_Part2_E(1)_Part8_E(1.9445)_Part9_E(1)_Part12_E(1.8544)_Part27_E(2.8438),1.9445,1.8544,2.8438,-5.79374824863,-0.01763724166845629,-0.007194389532460232,-5.175468865159212,-0.000718481634846891
_Part2_E(1)_Part8_E(1.8372)_Part9_E(1)_Part12_E(2.6677)_Part27_E(2.9421),1.8372,2.6677,2.9421,-5.86510460092,-0.23457460997811383,0.04261823928593403,-5.175465789287189,-0.0008049736550329115
_Part2_E(1)_Part8_E(2.1258)_Part9_E(1)_Part12_E(2.7747)_Part27_E(2.9509),2.1258,2.7747,2.9509,-5.8674679857,-0.32322825394477217,0.01197593183135577,-5.175459526149586,-0.0008346148403052326
_Part2_E(1)_Part8_E(1.8584)_Part9_E(1)_Part12_E(1.8084)_Part27_E(2.3529),1.8584,1.8084,2.3529,-5.78968508235,0.022183587765482345,-0.00030404854654304895,-5.175463427254895,-0.00042828169528570117
_Part2_E(1)_Part8_E(1.8014)_Part9_E(1)_Part12_E(1.3400)_Part27_E(1.7688),1.8014,1.34,1.7688,-5.71484978038,0.29057159774721014,-0.03647621152539209,9.962693574059113,9.167593765305526e-05
_Part2_E(1)_Part8_E(2.3925)_Part9_E(1)_Part12_E(2.1300)_Part27_E(2.3025),2.3925,2.13,2.3025,-5.81634080182,-0.20408444346167337,-0.034628557103424634,-5.1754415937895715,-0.0004569062164306348
_Part2_E(1)_Part8_E(1.6376)_Part9_E(1)_Part12_E(1.9290)_Part27_E(2.9944),1.6376,1.929,2.9944,-5.80814327557,0.035454320723453635,0.036999072580103425,-5.175479988064955,-0.000772678879360292
_Part2_E(1)_Part8_E(2.1478)_Part9_E(1)_Part12_E(2.4868)_Part27_E(1.6104),2.1478,2.4868,1.6104,-5.84876908486,-0.26233070581927626,0.001174580882336009,-5.175415257512957,0.0002153211917355276
_Part2_E(1)_Part8_E(2.9068)_Part9_E(1)_Part12_E(2.2785)_Part27_E(1.7496),2.9068,2.2785,1.7496,-5.8239220115,-0.3191348907733467,-0.06374333077683378,-5.175406675276293,-2.9943212427580217e-06
