File Name,E1,E2,E3,Apex,principal component 1 AVW,principal component 2 AVW,principal component 1 Bottom Tissue,principal component 2 Bottom Tissue
_Part2_E(1)_Part8_E(1.1866)_Part9_E(1)_Part12_E(1.3131)_Part27_E(2.9257),1.1866,1.3131,2.9257,-5.72642112945,0.5004226995458964,-0.017793371969728983,9.214551042715735,-0.0008574949842324045
_Part2_E(1)_Part8_E(2.6112)_Part9_E(1)_Part12_E(2.0071)_Part27_E(1.6402),2.6112,2.0071,1.6402,-5.80142919431,-0.23924904772675828,0.053962438088917423,-5.923603362855348,8.646357238292813e-05
_Part2_E(1)_Part8_E(2.0605)_Part9_E(1)_Part12_E(2.473)_Part27_E(1.5268),2.0605,2.473,1.5268,-5.84898620051,-0.2815442507410108,-0.014437703668984544,-5.923608286750417,0.0002457108651784759
_Part2_E(1)_Part8_E(2.0614)_Part9_E(1)_Part12_E(1.7776)_Part27_E(1.6174),2.0614,1.7776,1.6174,-5.78223184408,-0.053818496167732634,0.03285593255416898,-5.923626178177778,0.00019496803660019898
_Part2_E(1)_Part8_E(2.2559)_Part9_E(1)_Part12_E(1.8811)_Part27_E(2.9331),2.2559,1.8811,2.9331,-5.79198354211,-0.1349000251318944,0.03993004314070989,-5.923657054638427,-0.0008861355343888262
_Part2_E(1)_Part8_E(2.9206)_Part9_E(1)_Part12_E(1.9506)_Part27_E(1.4921),2.9206,1.9506,1.4921,-5.79192523277,-0.25829236841286485,0.07443544664792462,-5.923586379802296,0.00029956618024003673
_Part2_E(1)_Part8_E(1.8622)_Part9_E(1)_Part12_E(2.3096)_Part27_E(1.2848),1.8622,2.3096,1.2848,-5.83968763378,-0.1917084316349282,-0.025962148041679754,-5.923603552366739,0.0007546414858882816
_Part2_E(1)_Part8_E(2.249)_Part9_E(1)_Part12_E(1.0757)_Part27_E(2.6474),2.249,1.0757,2.6474,-5.63899535758,0.3613402839131787,0.14820062355909192,9.214511778834051,-0.0007357992940713184
_Part2_E(1)_Part8_E(2.5835)_Part9_E(1)_Part12_E(1.7306)_Part27_E(2.135),2.5835,1.7306,2.135,-5.76847727676,-0.12456920155846601,0.07413546608696196,-5.923631294100452,-0.0004030187207489398
_Part2_E(1)_Part8_E(1.6352)_Part9_E(1)_Part12_E(2.9057)_Part27_E(1.6872),1.6352,2.9057,1.6872,-5.88182129426,-0.26158283068618843,-0.0834069811906413,-5.923632717472465,3.3648105210396825e-05
_Part2_E(1)_Part8_E(1.1147)_Part9_E(1)_Part12_E(1.3201)_Part27_E(1.6613),1.1147,1.3201,1.6613,-5.73059492029,0.5374546980269318,-0.03511525350682761,9.214568030062678,0.0002264416657568546
_Part2_E(1)_Part8_E(2.0951)_Part9_E(1)_Part12_E(2.9998)_Part27_E(2.0513),2.0951,2.9998,2.0513,-5.88002524724,-0.4002090682664662,-0.03286988906807576,-5.923630185657882,-0.00041855127871064953
_Part2_E(1)_Part8_E(1.312)_Part9_E(1)_Part12_E(2.2704)_Part27_E(2.7563),1.312,2.2704,2.7563,-5.84765454284,0.011608004116278844,-0.10377411178952602,-5.923684628101747,-0.0007600517633856522
_Part2_E(1)_Part8_E(1.6729)_Part9_E(1)_Part12_E(1.2913)_Part27_E(2.506),1.6729,1.2913,2.506,-5.70721949776,0.31762940056132927,0.05853136880992905,9.21452075941206,-0.0006565676865257549
_Part2_E(1)_Part8_E(1.959)_Part9_E(1)_Part12_E(2.5812)_Part27_E(2.1839),1.959,2.5812,2.1839,-5.8578073669,-0.2843221146091419,-0.02953048125643986,-5.923640419883085,-0.00048293324978162616
_Part2_E(1)_Part8_E(2.3099)_Part9_E(1)_Part12_E(2.7583)_Part27_E(1.235),2.3099,2.7583,1.235,-5.86439186915,-0.39557938097667467,-0.005482576105840957,-5.923573262223777,0.0007438570150089274
_Part2_E(1)_Part8_E(1.5899)_Part9_E(1)_Part12_E(1.9063)_Part27_E(2.1061),1.5899,1.9063,2.1061,-5.80668197701,0.020414215124155068,-0.029667925959432594,-5.923664319647644,-0.00032912047206732465
_Part2_E(1)_Part8_E(1.699)_Part9_E(1)_Part12_E(2.6782)_Part27_E(1.1695),1.699,2.6782,1.1695,-5.86809380726,-0.2362904315457995,-0.06496961314824948,-5.923599060413258,0.0010259405582475434
_Part2_E(1)_Part8_E(1.039)_Part9_E(1)_Part12_E(2.2535)_Part27_E(1.2528),1.039,2.2535,1.2528,-5.85422973665,0.17441894663554844,-0.16733816804864818,9.214533684250112,0.000937695659750881
_Part2_E(1)_Part8_E(1.1355)_Part9_E(1)_Part12_E(1.1901)_Part27_E(2.2411),1.1355,1.1901,2.2411,-5.69927919417,0.6243266476919851,-0.0030683804348409765,9.214564516692738,-0.0004086576497212532
_Part2_E(1)_Part8_E(1.0527)_Part9_E(1)_Part12_E(1.3719)_Part27_E(2.3655),1.0527,1.3719,2.3655,-5.74379782829,0.5417236125136453,-0.05943750702919069,9.214563048261056,-0.0005124372927208216
_Part2_E(1)_Part8_E(1.9238)_Part9_E(1)_Part12_E(1.8058)_Part27_E(1.078),1.9238,1.8058,1.078,-5.78819229918,-0.03462643932023906,0.01750895711749002,-5.9235962251387555,0.001400567468828824
_Part2_E(1)_Part8_E(2.9391)_Part9_E(1)_Part12_E(2.8854)_Part27_E(2.5588),2.9391,2.8854,2.5588,-5.86522195282,-0.5099908161948669,0.030955420197067342,-5.923634034716025,-0.0008168738964109106
_Part2_E(1)_Part8_E(1.6401)_Part9_E(1)_Part12_E(1.6354)_Part27_E(2.8864),1.6401,1.6354,2.8864,-5.77065475443,0.12181982282807305,0.0047218240099175315,9.214510119302613,-0.0009010294352752491
_Part2_E(1)_Part8_E(1.1215)_Part9_E(1)_Part12_E(2.1482)_Part27_E(1.1182),1.1215,2.1482,1.1182,-5.8429941005,0.1504719140174448,-0.13696137185645604,9.214526831692345,0.0013084647940027215
_Part2_E(1)_Part8_E(1.9681)_Part9_E(1)_Part12_E(2.7461)_Part27_E(1.1378),1.9681,2.7461,1.1378,-5.86800703916,-0.32308337811352866,-0.03633334808629766,-5.923576609973762,0.0010539451279240307
_Part2_E(1)_Part8_E(1.006)_Part9_E(1)_Part12_E(1.1804)_Part27_E(2.4116),1.006,1.1804,2.4116,-5.70239094863,0.7167716302223183,-0.03167515279595112,9.214574931999108,-0.0005231804647866559
_Part2_E(1)_Part8_E(2.3208)_Part9_E(1)_Part12_E(1.027)_Part27_E(1.1383),2.3208,1.027,1.1383,-5.62204237281,0.39753876110361536,0.16330588604158888,9.214484121974555,0.0013209770530511996
_Part2_E(1)_Part8_E(1.9652)_Part9_E(1)_Part12_E(2.5596)_Part27_E(1.4793),1.9652,2.5596,1.4793,-5.85634336741,-0.2809604014558792,-0.028027957197093955,-5.923608586957173,0.0003262992364935133
_Part2_E(1)_Part8_E(2.4371)_Part9_E(1)_Part12_E(1.1031)_Part27_E(1.6219),2.4371,1.1031,1.6219,-5.64437808761,0.302582184516145,0.15217379556586388,9.214480163060923,0.0002215701954036809
_Part2_E(1)_Part8_E(1.6348)_Part9_E(1)_Part12_E(2.4438)_Part27_E(2.5993),1.6348,2.4438,2.5993,-5.85374150994,-0.16108138931755636,-0.06122781806709807,-5.9236633383991855,-0.0007170846553650477
_Part2_E(1)_Part8_E(2.533)_Part9_E(1)_Part12_E(1.117)_Part27_E(1.3621),2.533,1.117,1.3621,-5.64711739534,0.27467183092009123,0.15405324026469677,9.214462305429024,0.0006910980825962782
_Part2_E(1)_Part8_E(1.3625)_Part9_E(1)_Part12_E(1.37)_Part27_E(1.143),1.3625,1.37,1.143,-5.73227678067,0.37637838141229807,0.0028949330877738985,9.214534246079769,0.001297526080989343
_Part2_E(1)_Part8_E(2.4866)_Part9_E(1)_Part12_E(1.6673)_Part27_E(1.1477),2.4866,1.6673,1.1477,-5.76073721848,-0.08078135058538125,0.0740079154760674,-5.92357311101363,0.0011546874949239351
