File Name,E1,E2,E3,Apex,principal component 1 AVW,principal component 2 AVW,principal component 1 Bottom Tissue,principal component 2 Bottom Tissue
_Part2_E(1)_Part8_E(2.4855)_Part9_E(1)_Part12_E(1.2645)_Part27_E(2.9208),2.4855,1.2645,2.9208,-5.686285664,0.21834252000257143,-0.11302429278137131,10.046818215979455,-0.0008967636804606607
_Part2_E(1)_Part8_E(1.7033)_Part9_E(1)_Part12_E(2.4725)_Part27_E(2.7139),1.7033,2.4725,2.7139,-5.854510778,-0.13636136296105264,0.056293060703233366,-5.091339149695848,-0.0006747486278689241
_Part2_E(1)_Part8_E(1.8282)_Part9_E(1)_Part12_E(1.0865)_Part27_E(1.1908),1.8282,1.0865,1.1908,-5.649813344,0.5028143307808728,-0.09581187406065025,10.046839272036733,0.0012041364698090987
_Part2_E(1)_Part8_E(2.6626)_Part9_E(1)_Part12_E(2.9928)_Part27_E(2.928),2.6626,2.9928,2.928,-5.873485481,-0.4405624065919412,-0.01740004619762677,-5.091323080750647,-0.0008649064151241889
_Part2_E(1)_Part8_E(1.0833)_Part9_E(1)_Part12_E(2.8352)_Part27_E(1.28),1.0833,2.8352,1.28,-5.889907564,0.059734594026621124,0.19863874735486586,-5.091356605961184,0.0009877938315060065
_Part2_E(1)_Part8_E(1.315)_Part9_E(1)_Part12_E(1.5691)_Part27_E(2.3714),1.315,1.5691,2.3714,-5.769214403,0.3333182339926031,0.04961215795279854,10.046854267680656,-0.0005431117458444048
_Part2_E(1)_Part8_E(1.1147)_Part9_E(1)_Part12_E(2.9156)_Part27_E(1.8906),1.1147,2.9156,1.8906,-5.893038998,0.02450760534435463,0.19257793491121172,-5.091360462443241,-6.875654181879244e-06
_Part2_E(1)_Part8_E(2.6202)_Part9_E(1)_Part12_E(2.7458)_Part27_E(2.005),2.6202,2.7458,2.005,-5.860191584,-0.38648717833571966,-0.0216919990860807,-5.09129549413367,-0.0002895515014493225
_Part2_E(1)_Part8_E(2.8139)_Part9_E(1)_Part12_E(1.2)_Part27_E(1.0555),2.8139,1.2,1.0555,-5.666220746,0.22303084641810814,-0.13869726072665883,10.046733577341671,0.001519274002371153
_Part2_E(1)_Part8_E(2.3241)_Part9_E(1)_Part12_E(2.6078)_Part27_E(1.1677),2.3241,2.6078,1.1677,-5.85486928,-0.31055013503426226,-0.0038935599258436387,-5.091243370065093,0.0010470480143356274
_Part2_E(1)_Part8_E(1.4972)_Part9_E(1)_Part12_E(2.5027)_Part27_E(2.6233),1.4972,2.5027,2.6233,-5.860504947,-0.0747562108882649,0.08939203854226578,-5.0913463160189645,-0.0006096645305406249
_Part2_E(1)_Part8_E(2.1995)_Part9_E(1)_Part12_E(1.6188)_Part27_E(2.3945),2.1995,1.6188,2.3945,-5.757651535,0.048727773523963,-0.05261783538439048,-5.091328617431559,-0.00045512373326435043
_Part2_E(1)_Part8_E(2.0892)_Part9_E(1)_Part12_E(2.8515)_Part27_E(1.1882),2.0892,2.8515,1.1882,-5.872400752,-0.31752789819049687,0.026058543116029436,-5.091252920562723,0.0009945110820540326
_Part2_E(1)_Part8_E(1.6022)_Part9_E(1)_Part12_E(1.8919)_Part27_E(1.1494),1.6022,1.8919,1.1494,-5.804848222,0.075672595064181,0.035473127596655676,-5.091306120674577,0.001313267358963184
_Part2_E(1)_Part8_E(2.746)_Part9_E(1)_Part12_E(1.5711)_Part27_E(1.9542),2.746,1.5711,1.9542,-5.742752467,-0.011788278240028796,-0.09238159563143472,-5.091300654267123,-0.00011134555926625566
_Part2_E(1)_Part8_E(1.2617)_Part9_E(1)_Part12_E(2.5939)_Part27_E(1.0913),1.2617,2.5939,1.0913,-5.871765255,0.006316546095880343,0.1411752099152676,-5.091325035039729,0.00148026043078212
_Part2_E(1)_Part8_E(1.8279)_Part9_E(1)_Part12_E(2.6073)_Part27_E(2.4196),1.8279,2.6073,2.4196,-5.861486199,-0.2036430724440866,0.045936295085412644,-5.091328084212826,-0.0005259275629767931
_Part2_E(1)_Part8_E(1.3029)_Part9_E(1)_Part12_E(2.2525)_Part27_E(2.0145),1.3029,2.2525,2.0145,-5.846475234,0.07295523538484025,0.11264324819668925,-5.091353812995007,-0.00012986036961959882
_Part2_E(1)_Part8_E(2.6033)_Part9_E(1)_Part12_E(2.8609)_Part27_E(1.0087),2.6033,2.8609,1.0087,-5.867170057,-0.4082482651237345,-0.016568367414907418,-5.091209348615621,0.001455403280789505
_Part2_E(1)_Part8_E(2.8046)_Part9_E(1)_Part12_E(2.3126)_Part27_E(2.1354),2.8046,2.3126,2.1354,-5.827772883,-0.30492861742794924,-0.049352840739018154,-5.091299178827254,-0.00037000586879847383
_Part2_E(1)_Part8_E(1.4722)_Part9_E(1)_Part12_E(1.7286)_Part27_E(2.6472),1.4722,1.7286,2.6472,-5.787826944,0.19005490741755202,0.0401063054682145,10.046837482161733,-0.0007540329584309625
_Part2_E(1)_Part8_E(2.53)_Part9_E(1)_Part12_E(1.9279)_Part27_E(2.7072),2.53,1.9279,2.7072,-5.793702415,-0.14206481232011164,-0.052557710875113565,-5.091323403008138,-0.0006832642875959848
_Part2_E(1)_Part8_E(2.9538)_Part9_E(1)_Part12_E(2.5419)_Part27_E(1.8412),2.9538,2.5419,1.8412,-5.84375161,-0.38217054950933277,-0.048755894624835094,-5.091282662848631,-0.00013461706070586502
_Part2_E(1)_Part8_E(2.9508)_Part9_E(1)_Part12_E(2.8349)_Part27_E(1.1238),2.9508,2.8349,1.1238,-5.862412001,-0.44663132837618796,-0.03902655803548677,-5.091217960575672,0.0010555803703401316
_Part2_E(1)_Part8_E(1.5339)_Part9_E(1)_Part12_E(2.6481)_Part27_E(2.0639),1.5339,2.6481,2.0639,-5.86913692,-0.12180463634579132,0.08997820830611783,-5.091331579618986,-0.00022978447146715405
_Part2_E(1)_Part8_E(2.5956)_Part9_E(1)_Part12_E(2.8771)_Part27_E(1.4468),2.5956,2.8771,1.4468,-5.868067668,-0.40991265041857433,-0.015823635374901023,-5.091261376887872,0.0003841463583794805
_Part2_E(1)_Part8_E(2.3729)_Part9_E(1)_Part12_E(1.1783)_Part27_E(2.9585),2.3729,1.1783,2.9585,-5.666418422,0.3050396246646033,-0.1197192015591339,10.046826310421087,-0.0008943559861169118
_Part2_E(1)_Part8_E(1.5748)_Part9_E(1)_Part12_E(2.9649)_Part27_E(2.1563),1.5748,2.9649,2.1563,-5.885800712,-0.1995288938455692,0.09574031192124711,-5.0913282302682275,-0.000330883677129274
_Part2_E(1)_Part8_E(1.7369)_Part9_E(1)_Part12_E(2.3429)_Part27_E(1.8104),1.7369,2.3429,1.8104,-5.844410106,-0.11279946730695485,0.045944015281108946,-5.091316059831,2.4340015213491336e-05
_Part2_E(1)_Part8_E(1.8225)_Part9_E(1)_Part12_E(1.7751)_Part27_E(1.4518),1.8225,1.7751,1.4518,-5.786133618,0.05924942688138951,-0.002432786757649016,-5.091307690294909,0.0005991283740566186
_Part2_E(1)_Part8_E(2.5257)_Part9_E(1)_Part12_E(1.6442)_Part27_E(1.0378),2.5257,1.6442,1.0378,-5.756811491,-0.018773218195509533,-0.07280813481858198,-5.09123560981525,0.001619635770699782
_Part2_E(1)_Part8_E(2.4295)_Part9_E(1)_Part12_E(2.2368)_Part27_E(1.4812),2.4295,2.2368,1.4812,-5.825586079,-0.23080444143686793,-0.02811286152430858,-5.09127203161274,0.0004227854745128331
_Part2_E(1)_Part8_E(2.6963)_Part9_E(1)_Part12_E(2.6724)_Part27_E(1.8578),2.6963,2.6724,1.8578,-5.854902356,-0.3810487358427606,-0.029006874403350178,-5.091287293199184,-0.00014743841579814237
_Part2_E(1)_Part8_E(2.6474)_Part9_E(1)_Part12_E(1.1657)_Part27_E(2.6858),2.6474,1.1657,2.6858,-5.659366382,0.2734465024564688,-0.13670960512446734,10.046815787836294,-0.0007646675693711959
_Part2_E(1)_Part8_E(2.2735)_Part9_E(1)_Part12_E(2.6728)_Part27_E(1.2058),2.2735,2.6728,1.2058,-5.85963085,-0.31617346977072974,0.0026304874244268495,-5.09124908526302,0.0009456911398702447
_Part2_E(1)_Part8_E(2.5171)_Part9_E(1)_Part12_E(2.783)_Part27_E(1.1776),2.5171,2.783,1.1776,-5.863547105,-0.3797539681503297,-0.012948864352450578,-5.0912363277940935,0.0009702529565747004
_Part2_E(1)_Part8_E(2.283)_Part9_E(1)_Part12_E(1.0298)_Part27_E(2.5457),2.283,1.0298,2.5457,-5.623758696,0.4597171570827945,-0.14247580466588455,10.046837153087548,-0.00064237948419221
_Part2_E(1)_Part8_E(2.2061)_Part9_E(1)_Part12_E(2.672)_Part27_E(1.1371),2.2061,2.672,1.1371,-5.860414837,-0.30357028479734993,0.008652841393078852,-5.091243799614702,0.0011380655576917332
_Part2_E(1)_Part8_E(1.6972)_Part9_E(1)_Part12_E(1.7909)_Part27_E(2.6136),1.6972,1.7909,2.6136,-5.790642552,0.08738084762242249,0.013820468558735113,-5.091346866787668,-0.0005777775911235152
_Part2_E(1)_Part8_E(2.7854)_Part9_E(1)_Part12_E(1.6792)_Part27_E(2.4745),2.7854,1.6792,2.4745,-5.758828307,-0.07094452201343877,-0.0853831681976928,-5.091315578635625,-0.0005369130473853234
_Part2_E(1)_Part8_E(2.8566)_Part9_E(1)_Part12_E(2.2027)_Part27_E(1.9301),2.8566,2.2027,1.9301,-5.817804178,-0.2790580108683448,-0.05722725929457062,-5.091289866183898,-0.00017976140218232985
_Part2_E(1)_Part8_E(2.6614)_Part9_E(1)_Part12_E(2.2056)_Part27_E(2.948),2.6614,2.2056,2.948,-5.820116638,-0.2551044634002775,-0.04574834378262705,-5.091325459442819,-0.0008231276557878791
_Part2_E(1)_Part8_E(2.4637)_Part9_E(1)_Part12_E(1.1613)_Part27_E(2.8088),2.4637,1.1613,2.8088,-5.660579749,0.30464275738768526,-0.12783349809581696,10.04682291044247,-0.0008217054694190732
_Part2_E(1)_Part8_E(2.8385)_Part9_E(1)_Part12_E(2.382)_Part27_E(1.8709),2.8385,2.382,1.8709,-5.833024722,-0.32823994732095746,-0.04831034533841978,-5.091286314843283,-0.00014057985425767883
_Part2_E(1)_Part8_E(2.6649)_Part9_E(1)_Part12_E(1.0913)_Part27_E(1.0519),2.6649,1.0913,1.0519,-5.637822772,0.3380815818465004,-0.14996009395243973,10.046761235494094,0.0016030525746826214
_Part2_E(1)_Part8_E(1.3512)_Part9_E(1)_Part12_E(2.9066)_Part27_E(2.4774),1.3512,2.9066,2.4774,-5.887087841,-0.10011705633273169,0.13471475771858157,-5.091347708603487,-0.0005259039049143524
